"visibility","datetime","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.main","weather.description","city_name","rain.1h"
10000.0,"2025-03-01 00:00:00+08:00",25.18,25.66,25.18,25.18,1015.0,73.0,1015.0,1009.0,3.23,99.0,3.96,1.0,"2025-03-01 06:18:04+08:00","2025-03-01 18:07:13+08:00","Clear","clear sky","Alaminos",""
10000.0,"2025-03-01 00:00:02+08:00",25.25,25.74,25.25,25.25,1016.0,73.0,1016.0,998.0,1.03,160.0,"",75.0,"2025-03-01 06:15:06+08:00","2025-03-01 18:05:23+08:00","Clouds","broken clouds","Angeles City",""
10000.0,"2025-03-01 00:00:03+08:00",21.72,22.4,21.72,21.72,1016.0,94.0,1016.0,976.0,2.69,74.0,5.72,65.0,"2025-03-01 06:12:56+08:00","2025-03-01 18:02:41+08:00","Clouds","broken clouds","Antipolo",""
10000.0,"2025-03-01 00:00:05+08:00",24.73,25.53,24.73,24.73,1014.0,87.0,1014.0,1005.0,4.79,51.0,9.82,100.0,"2025-03-01 06:01:47+08:00","2025-03-01 17:55:18+08:00","Clouds","overcast clouds","Bacolod",""
10000.0,"2025-03-01 00:00:07+08:00",26.08,26.08,25.06,27.03,1015.0,77.0,1015.0,1012.0,1.54,110.0,"",75.0,"2025-03-01 06:13:20+08:00","2025-03-01 18:04:23+08:00","Clouds","broken clouds","Bacoor",""
10000.0,"2025-03-01 00:00:08+08:00",26.18,26.18,26.18,26.18,1012.0,82.0,1012.0,1009.0,5.99,16.0,9.26,100.0,"2025-03-01 06:03:33+08:00","2025-03-01 17:58:56+08:00","Clouds","overcast clouds","Bago City",""
10000.0,"2025-02-28 23:57:01+08:00",14.01,13.61,14.01,14.01,1017.0,82.0,1017.0,926.0,2.03,89.0,2.29,0.0,"2025-03-01 06:15:46+08:00","2025-03-01 18:04:38+08:00","Clear","clear sky","Baguio",""
10000.0,"2025-03-01 00:00:11+08:00",26.08,26.08,26.08,26.08,1012.0,82.0,1012.0,993.0,3.28,46.0,7.2,100.0,"2025-03-01 06:01:53+08:00","2025-03-01 17:58:17+08:00","Clouds","overcast clouds","Bais",""
10000.0,"2025-03-01 00:00:13+08:00",24.62,25.23,24.62,24.62,1015.0,80.0,1015.0,998.0,3.37,42.0,5.39,100.0,"2025-03-01 06:15:01+08:00","2025-03-01 18:05:50+08:00","Clouds","overcast clouds","Balanga",""
8000.0,"2025-03-01 00:00:14+08:00",23.88,24.78,23.88,23.88,1015.0,94.0,1015.0,1005.0,1.03,120.0,"",75.0,"2025-03-01 06:16:49+08:00","2025-03-01 18:03:48+08:00","Clouds","broken clouds","Batac City",""
10000.0,"2025-03-01 00:00:16+08:00",24.01,24.76,24.01,24.01,1014.0,88.0,1014.0,1006.0,4.28,72.0,8.35,91.0,"2025-03-01 06:12:27+08:00","2025-03-01 18:04:18+08:00","Clouds","overcast clouds","Batangas City",""
10000.0,"2025-03-01 00:00:17+08:00",26.29,26.29,26.29,26.29,1012.0,79.0,1012.0,993.0,5.97,42.0,9.99,100.0,"2025-03-01 06:03:03+08:00","2025-03-01 17:59:41+08:00","Clouds","overcast clouds","Bayawan",""
10000.0,"2025-03-01 00:00:19+08:00",25.46,26.28,25.46,25.46,1015.0,85.0,1015.0,1004.0,3.93,57.0,4.01,97.0,"2025-03-01 06:01:37+08:00","2025-03-01 17:53:50+08:00","Clouds","overcast clouds","Baybay",""
2470.0,"2025-03-01 00:00:21+08:00",23.17,24.13,23.17,23.17,1013.0,99.0,1013.0,991.0,0.61,106.0,0.72,100.0,"2025-03-01 05:50:51+08:00","2025-03-01 17:48:09+08:00","Clouds","overcast clouds","Bayugan",""
10000.0,"2025-03-01 00:00:23+08:00",24.83,25.69,24.83,24.83,1013.0,89.0,1013.0,1010.0,2.57,28.0,4.76,93.0,"2025-03-01 05:55:03+08:00","2025-03-01 17:49:50+08:00","Clouds","overcast clouds","Bislig",""
10000.0,"2025-03-01 00:00:25+08:00",25.45,26.22,25.05,27.02,1015.0,83.0,1015.0,1003.0,1.54,110.0,"",75.0,"2025-03-01 06:12:39+08:00","2025-03-01 18:03:50+08:00","Clouds","broken clouds","Biñan",""
10000.0,"2025-03-01 00:00:27+08:00",25.55,26.35,25.55,25.55,1013.0,84.0,1013.0,1009.0,5.63,51.0,9.05,89.0,"2025-03-01 05:59:09+08:00","2025-03-01 17:53:57+08:00","Clouds","overcast clouds","Bogo",""
3057.0,"2025-03-01 00:00:14+08:00",24.73,25.69,24.73,24.73,1014.0,93.0,1014.0,995.0,4.06,51.0,8.6,93.0,"2025-03-01 05:53:45+08:00","2025-03-01 17:47:57+08:00","Clouds","overcast clouds","Borongan",""
10000.0,"2025-03-01 00:00:30+08:00",23.91,24.86,23.91,23.91,1012.0,96.0,1012.0,998.0,1.15,148.0,1.94,100.0,"2025-03-01 05:51:51+08:00","2025-03-01 17:48:57+08:00","Clouds","overcast clouds","Butuan",""
10000.0,"2025-03-01 00:00:31+08:00",24.42,25.37,24.42,24.42,1012.0,94.0,1012.0,989.0,1.14,135.0,1.39,97.0,"2025-03-01 05:51:59+08:00","2025-03-01 17:48:53+08:00","Clouds","overcast clouds","Cabadbaran",""
10000.0,"2025-03-01 00:00:34+08:00",22.12,22.69,22.12,22.12,1015.0,88.0,1015.0,1014.0,0.66,330.0,0.32,32.0,"2025-03-01 06:13:45+08:00","2025-03-01 18:03:40+08:00","Clouds","scattered clouds","Cabanatuan City",""
10000.0,"2025-03-01 00:00:35+08:00",25.39,26.26,24.99,26.96,1015.0,87.0,1015.0,1006.0,5.8,87.0,10.68,98.0,"2025-03-01 06:12:26+08:00","2025-03-01 18:03:42+08:00","Clouds","overcast clouds","Cabuyao",""
10000.0,"2025-03-01 00:00:37+08:00",25.27,26.15,25.27,25.27,1013.0,88.0,1013.0,1001.0,4.48,58.0,6.07,97.0,"2025-03-01 06:01:58+08:00","2025-03-01 17:56:53+08:00","Clouds","overcast clouds","Cadiz",""
10000.0,"2025-03-01 00:00:38+08:00",24.95,25.46,24.95,24.95,1011.0,75.0,1011.0,1001.0,1.24,229.0,0.12,99.0,"2025-03-01 05:55:11+08:00","2025-03-01 17:52:47+08:00","Rain","light rain","Cagayan de Oro",0.24
10000.0,"2025-03-01 00:00:40+08:00",24.15,24.76,24.15,24.15,1014.0,82.0,1014.0,1002.0,4.42,84.0,11.51,93.0,"2025-03-01 06:13:30+08:00","2025-03-01 18:05:08+08:00","Clouds","overcast clouds","Calaca",""
10000.0,"2025-03-01 00:00:42+08:00",25.51,26.36,24.99,25.51,1015.0,86.0,1015.0,1003.0,4.72,81.0,9.12,100.0,"2025-03-01 06:12:15+08:00","2025-03-01 18:03:35+08:00","Clouds","overcast clouds","Calamba",""
8813.0,"2025-03-01 00:00:44+08:00",24.9,25.74,24.9,24.9,1015.0,88.0,1015.0,1005.0,5.59,64.0,8.36,98.0,"2025-03-01 06:11:44+08:00","2025-03-01 18:03:58+08:00","Clouds","overcast clouds","Calapan",""
10000.0,"2025-03-01 00:00:46+08:00",23.99,24.85,23.99,23.99,1014.0,92.0,1014.0,1009.0,3.22,40.0,7.61,46.0,"2025-03-01 05:57:20+08:00","2025-03-01 17:51:01+08:00","Clouds","scattered clouds","Calbayog City",""
10000.0,"2025-03-01 00:00:48+08:00",25.92,26.55,25.05,27.03,1014.0,76.0,1014.0,1017.0,1.54,110.0,"",75.0,"2025-03-01 06:13:17+08:00","2025-03-01 18:04:08+08:00","Clouds","broken clouds","Caloocan City",""
10000.0,"2025-03-01 00:00:50+08:00",23.97,24.43,23.97,23.97,1015.0,77.0,1015.0,1008.0,1.03,80.0,1.08,7.0,"2025-03-01 06:16:46+08:00","2025-03-01 18:04:45+08:00","Clear","clear sky","Candon",""
10000.0,"2025-03-01 00:00:52+08:00",21.71,22.26,21.71,21.71,1014.0,89.0,1014.0,960.0,2.38,44.0,6.17,100.0,"2025-03-01 06:02:01+08:00","2025-03-01 17:57:33+08:00","Clouds","overcast clouds","Canlaon",""
10000.0,"2025-03-01 00:00:54+08:00",24.94,25.74,24.94,24.94,1013.0,86.0,1013.0,1003.0,4.31,40.0,6.06,98.0,"2025-03-01 06:00:06+08:00","2025-03-01 17:55:56+08:00","Clouds","overcast clouds","Carcar",""
10000.0,"2025-03-01 00:00:56+08:00",25.34,26.12,24.92,26.9,1015.0,84.0,1015.0,1003.0,1.34,126.0,1.34,93.0,"2025-03-01 06:12:44+08:00","2025-03-01 18:03:57+08:00","Clouds","overcast clouds","Carmona",""
10000.0,"2025-03-01 00:00:57+08:00",24.46,25.31,24.46,24.46,1013.0,90.0,1013.0,1009.0,2.34,32.0,5.8,82.0,"2025-03-01 05:56:01+08:00","2025-03-01 17:50:02+08:00","Clouds","broken clouds","Catbalogan",""
10000.0,"2025-03-01 00:00:59+08:00",20.44,20.92,20.44,20.44,1017.0,91.0,1017.0,1010.0,1.8,191.0,1.93,18.0,"2025-03-01 06:11:21+08:00","2025-03-01 17:59:37+08:00","Clouds","few clouds","Cauayan",""
10000.0,"2025-03-01 00:01:01+08:00",26.28,26.28,25.07,27.05,1014.0,76.0,1014.0,1015.0,1.54,110.0,"",75.0,"2025-03-01 06:13:23+08:00","2025-03-01 18:04:25+08:00","Clouds","broken clouds","Cavite City",""
10000.0,"2025-02-28 23:56:38+08:00",26.81,29.16,26.81,26.81,1013.0,78.0,1013.0,998.0,3.09,340.0,"",75.0,"2025-03-01 05:59:12+08:00","2025-03-01 17:54:49+08:00","Clouds","broken clouds","Cebu City",""
10000.0,"2025-03-01 00:01:05+08:00",26.04,26.04,25.01,26.98,1015.0,75.0,1015.0,1006.0,1.54,110.0,"",75.0,"2025-03-01 06:12:44+08:00","2025-03-01 18:03:36+08:00","Clouds","broken clouds","City of Marikina",""
10000.0,"2025-03-01 00:01:07+08:00",24.76,25.59,24.76,24.76,1014.0,88.0,1014.0,1003.0,3.55,51.0,8.17,100.0,"2025-03-01 06:01:32+08:00","2025-03-01 17:54:56+08:00","Clouds","overcast clouds","City of Masbate",""
